URI_Name;Provincia;Canton;Parroquia;Nombre;Direccion;Tipo;Regimen Escolar;Modalidad;Jornada Laboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATOMACARA;Loja;MACARA;GENERALELOYALFARO(SANSEBASTIAN);COLEGIO DE BACHILLERATO MACARA;AV PANAMERICANA NORTE 01-03 VIA CARIAMANGA ;FiscalHighSchool;Costa;Presencial;Matutina,Nocturno;34;22;56;8;380;491;871
COLEGIODEBACHILLERATOMANGAHURCO;Loja;ZAPOTILLO;CAZADEROS(CAB ENMANGAURCO);COLEGIO DE BACHILLERATO MANGAHURCO;   RECINTO MANGAHURCO;FiscalHighSchool;Costa;Presencial;Matutina;3;6;9;3;30;25;55
COLEGIODEBACHILLERATOMANUELBENJAMINCARRION;Loja;LOJA;YANGANA(ARSENIOCASTILLO);COLEGIO DE BACHILLERATO MANUEL BENJAMIN CARRION;   CENTRO DE YANGANA;FiscalHighSchool;Sierra;Presencial;Matutina;8;6;14;3;91;132;223
COLEGIODEBACHILLERATOMANUELCARRIONPINZANO;Loja;PUYANGO;VICENTINO;COLEGIO DE BACHILLERATO MANUEL CARRION PINZANO;   ANGEL LIMA ENTRE MANUEL RAMIREZ Y MIGUEL CALLE;FiscalHighSchool;Costa;Presencial;Matutina;6;5;11;3;62;76;138
COLEGIODEBACHILLERATOMANUELENRIQUERENGEL;Loja;LOJA;ELSAGRARIO;COLEGIO DE BACHILLERATO MANUEL ENRIQUE RENGEL;AV  UNIVERSITARIA  JUAN DE SALINAS ENTRE  DIECIOCHO DE NOVIEMBRE Y AVENIDA UNIVERSIARIA ;FiscalHighSchool;Sierra;Presencial;Nocturno;8;5;13;3;70;106;176
COLEGIODEBACHILLERATOMARCOSOCHOAMUnOZ;Loja;PUYANGO;CIANO;COLEGIO DE BACHILLERATO MARCOS OCHOA MUÑOZ;   UBICADO EN EL BARRIO LAS COCHAS PARROQUIA CIANO;FiscalHighSchool;Costa;Presencial;Matutina;0;7;7;2;68;67;135
COLEGIODEBACHILLERATOMATILDEHIDALGODEPROCEL;Loja;CHAGUARPAMBA;SANTARUFINA;COLEGIO DE BACHILLERATO MATILDE HIDALGO DE PROCEL;   ACCESO POR EL PUENTE DEL RÍO PINDO;FiscalHighSchool;Costa;Presencial;Matutina;4;4;8;3;54;56;110
COLEGIODEBACHILLERATOMONSLEONIDASPROAnOVILLALBA;Loja;CATAMAYO;ELTAMBO;COLEGIO DE BACHILLERATO MONS LEONIDAS PROAÑO VILLALBA;   PARROQUIA EL TAMBO;FiscalHighSchool;Costa;Presencial;Matutina;8;7;15;4;89;139;228
COLEGIODEBACHILLERATOPARTICULARANTONIOPEnACELI;Loja;LOJA;VALLE;COLEGIO DE BACHILLERATO PARTICULAR  ANTONIO PEÑA CELI;BARRIO COLINAS DE BELEN  COLINAS DE BELEN ;ReligiousHighSchool;Sierra;Presencial;Matutina;13;8;21;12;141;163;304
COLEGIODEBACHILLERATOPARTICULARCORDILLERA;Loja;LOJA;ELSAGRARIO;COLEGIO DE BACHILLERATO PARTICULAR CORDILLERA;BERNARDO VALDIVIESO 06-34 JOSÉ ANTONIO EGUIGUREN ;LaicHighSchool;Sierra;Presencial;Matutina;23;8;31;8;128;118;246
COLEGIODEBACHILLERATOPARTICULARDRJOSEMARIAVIVARCASTRO;Loja;LOJA;SUCRE;COLEGIO DE BACHILLERATO PARTICULAR DR JOSE MARIA VIVAR CASTRO;BELEN BAJO  CHARITI Y PROLONGACION DE LA BUENA VENTURA ;LaicHighSchool;Sierra;Presencial;Matutina;3;2;5;3;15;32;47
COLEGIODEBACHILLERATOPARTICULAREUGENIOESPEJO;Loja;LOJA;VALLE;COLEGIO DE BACHILLERATO PARTICULAR EUGENIO ESPEJO;AV  SALVADOR BUSTAMANTE CELI 00 S/N ;LaicHighSchool;Sierra;Presencial;Matutina;39;11;50;27;432;335;767
COLEGIODEBACHILLERATOPARTICULARIBEROAMERICANOSANAGUSTÍN;Loja;LOJA;VALLE;COLEGIO DE BACHILLERATO PARTICULAR IBEROAMERICANO SAN AGUSTÍN;AGUSTIN CARRION  AVENIDA SALVADOR BUSTAMANTE CELI ;LaicHighSchool;Sierra;Presencial;Matutina;12;6;18;5;95;89;184
COLEGIODEBACHILLERATOPARTICULARMIGUELANGELSUAREZ;Loja;LOJA;VALLE;COLEGIO DE BACHILLERATO PARTICULAR MIGUEL ANGEL SUAREZ;AV SALVADOR BUSTAMANTE CELI  AV GUAYAQUIL Y PASAJE ;ReligiousHighSchool;Sierra;Presencial;Matutina;5;11;16;6;70;167;237
COLEGIODEBACHILLERATOPARTICULARPARAPCEIDRJOSEMARIAVIVARCASTRO;Loja;LOJA;SUCRE;COLEGIO DE BACHILLERATO PARTICULAR PARA PCEI DR JOSE MARIA VIVAR CASTRO;BELEN BAJO  CALLE CHARITY 0000000 BUENA VENTURA ;LaicHighSchool;Sierra;Distancia;Matutina;3;4;7;3;45;85;130
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS;Loja;LOJA;ELSAGRARIO;COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS;AVENIDA MANUEL AGUSTIN AGUIRRE 1063 ENTRE MIGUEL RIOFRIO Y AZUAY ;LaicHighSchool;Costa;Semipresencial;Matutina,Vespertina;7;2;9;9;26;50;76
COLEGIODEBACHILLERATOPARTICULARPCEIAMAZONAS;Loja;LOJA;SUCRE;COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS;AV MANUEL AGUISTIN AGUIRRE 10-63 AZUAY Y MIGUEL RIOFRIO ;LaicHighSchool;Sierra;Distancia;Matutina,Vespertina,Nocturno;6;4;10;10;99;182;281
COLEGIODEBACHILLERATOPARTICULARPCEIISIDROAYORACUEVA;Loja;LOJA;SANSEBASTIAN;COLEGIO DE BACHILLERATO PARTICULAR PCEI ISIDRO AYORA CUEVA;AV  EMILIANO ORTEGA 1101-93 LOURDES ;LaicHighSchool;Sierra;Distancia;Matutina;10;2;12;3;155;165;320
COLEGIODEBACHILLERATOPARTICULARSANGERARDO;Loja;LOJA;SANSEBASTIAN;COLEGIO DE BACHILLERATO PARTICULAR SAN GERARDO;KM  TRES Y MEDIO   VIA VILCABAMBA 1171 SIN NOMBRE ;LaicHighSchool;Sierra;Presencial;Matutina;59;20;79;24;434;478;912
COLEGIODEBACHILLERATOPCEIPIOJARAMILLOALVARADO;Loja;LOJA;SANSEBASTIAN;COLEGIO DE BACHILLERATO PCEI  PIO JARAMILLO ALVARADO;BOLíVAR 1479 CATACOCHA ;FiscalHighSchool;Sierra;Semipresencial;Matutina;10;2;12;1;71;17;88
